ID,Category,Sub-Feature,Title,Preconditions,Steps,Test Data,Expected Result,Priority,Notes,Step chi tiết
GEN-01,General,Navigation,Open Post Normal Ad page,User is logged in; KYC completed; P2P enabled,Go to P2P Trading → Post advertisement → Post Normal Ad,,Page loads with Step 1 highlighted; default 'I want to Buy' selected; all fields visible and enabled as per defaults.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Giữ chế độ **I want to Buy**.
5. Nhấn **Next** tới Step 2 (nếu có), sau đó **Submit** để tạo quảng cáo và kiểm tra thông báo thành công."
GEN-02,General,Navigation,Back to Ads list works,On Step 1,Click 'Back to Ads list',,User navigates to 'My ads' or ads list without errors.,Medium,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Sau khi đăng, mở **My ads** và **Marketplace** để xác minh quảng cáo xuất hiện đúng và thông tin khớp.
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
GEN-03,General,Progression,Next Step disabled until valid,On Step 1,Observe 'Next Step' before filling any field,,'Next Step' is disabled and shows tooltip/list of missing fields.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Kiểm tra điều hướng bàn phím (Tab/Shift+Tab), tooltip lỗi khi nút **Next** bị disabled và đọc bằng screen reader.
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
GEN-04,General,Progression,Next Step enabled when all required valid,On Step 1 with valid inputs,Fill all required fields validly → Click 'Next Step',,Navigates to Step 2. No client-side console errors.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Để trống trường liên quan và nhấn **Next/Submit** để quan sát thông báo lỗi.
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
GEN-05,General,Draft/Autosave,Form draft persists on reload,On Step 1 with some fields filled,Refresh page,,Values persist via local storage/draft API.,Medium,"If not supported, requirement should be clarified.","1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Mở **DevTools → Network** để quan sát **POST /p2p/ads**.
5. Thử sửa payload (giá ngoài biên/trường thừa) và xác minh server trả lỗi/phớt lờ trường không hợp lệ."
TOG-01,Functional,Buy/Sell Toggle,Switch to Sell updates labels and validations,Open Step 1,Click 'I want to Sell',,Fiat payment methods still required; Balance check appears for asset; Derived labels update (you sell DOGE for EUR).,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chuyển công tắc chế độ sang **I want to Sell**.
5. Chọn **Asset** (VD: USDT/BTC) từ danh sách.
6. Chọn **With Fiat** (VD: VND/USD/EUR).
7. Nếu ở chế độ **Sell**, thử nhập số lượng vượt **số dư khả dụng** để kiểm tra cảnh báo.
8. Chọn **Payment method** (ít nhất 1, tối đa 5) từ danh sách đã cấu hình.
9. Xác minh không chọn trùng, không chọn phương thức **chưa xác minh** (nếu áp dụng).
10. Để trống trường liên quan và nhấn **Next/Submit** để quan sát thông báo lỗi."
TOG-02,Functional,Buy/Sell Toggle,Toggle retains entered values per mode,Enter values on Buy,Switch to Sell → Switch back to Buy,,Values entered for each mode are retained independently.,Medium,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** và **With Fiat**.
5. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
6. Chọn **Payment method** và **Payment time limit**.
7. Nhập **Remarks** (tuỳ chọn).
8. Nhấn **Submit** và xác minh kết quả mong đợi."
TOG-03,Functional,Buy/Sell Toggle,Prevent switch when unsaved invalid data?,Enter invalid data on Buy,Switch to Sell,,"Either switch allowed but invalid state is reset, or confirmation prompt appears; no crash.",Low,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** và **With Fiat**.
5. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
6. Chọn **Payment method** và **Payment time limit**.
7. Nhập **Remarks** (tuỳ chọn).
8. Nhấn **Submit** và xác minh kết quả mong đợi."
CUR-01,Functional,Asset,Default asset is DOGE,Open page,Observe Asset field,,DOGE pre-selected; dropdown works.,Low,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** (VD: USDT/BTC) từ danh sách.
5. Chọn **Asset** và **With Fiat**.
6. Nhập **Fixed price**, **Target quantity**, **Order limit (Min/Max)**.
7. Chọn **Payment method** và **Payment time limit**.
8. Nhập **Remarks** (tuỳ chọn).
9. Nhấn **Submit** và xác minh kết quả mong đợi."
CUR-02,Functional,Asset,Change asset updates market data box,Open page,Change asset to BTC/USDT/etc.,BTC,Market Price/Highest order refresh correctly; validation ranges recalc.,High,,"1. Đăng nhập tài khoản hợp lệ (đã KYC nếu cần).
2. Vào **P2P Trading** trên thanh điều hướng.
3. Nhấn **Post advertisement** và chọn **Post Normal Ad** (tạo quảng cáo thường).
4. Chọn **Asset** (VD: USDT/BTC) từ danh sách.
5. Ghi nhận **Market Price (M)** hiển thị trên form."
